id,name,lat,lon,address,rating,rating_count,confidence,url,match,city,state,country,zip_code
WAK3wWrrt1-S4f-1xtJfZw,The Port of Peri Peri,40.8313427,-74.09206496770653,"51 Nj-17, Unit 49, East Rutherford, NJ 07073",4.4,99,,https://www.yelp.com/biz/the-port-of-peri-peri-east-rutherford?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,East Rutherford,NJ,US,07073
oFSRNJrl9MOZCiFTNwP1Xw,Tops Diner,40.750644823052426,-74.16395508635676,"500 Passaic Ave, East Newark, NJ 07029",4.4,4951,,https://www.yelp.com/biz/tops-diner-east-newark?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,East Newark,NJ,US,07029
DKAVCg08eo2JTaS8HhSgrA,Mamoun's Falafel,40.74017620946565,-74.0303276273842,"300 Washington St, Hoboken, NJ 07030",3.9,906,,https://www.yelp.com/biz/mamouns-falafel-hoboken-3?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Hoboken,NJ,US,07030
eWSZHH4kfzS5NeNU1CMcyg,Amayar Kitchen,40.90072880597357,-74.05832523553553,"111 E Passaic St, Maywood, NJ 07607",4.8,196,,https://www.yelp.com/biz/amayar-kitchen-maywood?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Maywood,NJ,US,07607
TmKOAdfxucvj6e1EYjHcKw,Beyond Pita,40.8148590256261,-74.2219932365319,"82 Church St, Montclair, NJ 07042",4.3,192,,https://www.yelp.com/biz/beyond-pita-montclair?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Montclair,NJ,US,07042
tJuqsD3kYv_alKEE5l_gog,The Olive Bistro,40.870742,-74.182338,"1116 Us-46, Clifton, NJ 07013",4.7,15,,https://www.yelp.com/biz/the-olive-bistro-clifton-2?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category+term,Clifton,NJ,US,07013
_zF9eFWqSONOhlabdOgwfA,Rivoli Pizzeria,40.6985617,-74.2787437,"2193 Morris Ave, Union, NJ 07083",3.4,28,,https://www.yelp.com/biz/rivoli-pizzeria-union?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Union,NJ,US,07083
7G-Ud62Mpi-YhEjQOjCHhg,Cumin N Eat,40.785867,-74.044791,"700 Plaza Dr, Secaucus, NJ 07094",4.4,208,,https://www.yelp.com/biz/cumin-n-eat-secaucus?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Secaucus,NJ,US,07094
Hadm2ycnKhX6hLmIZNz6Eg,Halal Boyz,40.70359,-74.29187,"2583 Morris Ave, Union, NJ 07083",4.2,13,,https://www.yelp.com/biz/halal-boyz-union-2?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Union,NJ,US,07083
rnzmgBYAQBLx4j9ReQP_1Q,Wayback Burgers,40.790954719654046,-74.0574825,"83 Plaza Ctr, Secaucus, NJ 07094",3.4,85,,https://www.yelp.com/biz/wayback-burgers-secaucus?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Secaucus,NJ,US,07094
Znj2D9i2Rsc_PqaJhE_kFw,Al Basha Restaurant,40.8916,-74.15694,"1076 Main St, Paterson, NJ 07503",4.1,741,,https://www.yelp.com/biz/al-basha-restaurant-paterson-5?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Paterson,NJ,US,07503
R5AUhqPpHBwddjb57pHg7g,Torshi - Mediterranean Grill,40.7616399,-74.1605281,"175 Passaic Ave, Ste 13, Kearny, NJ 07032",4,47,,https://www.yelp.com/biz/torshi-mediterranean-grill-kearny?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Kearny,NJ,US,07032
mofqcbvp-MVFSynU1fQNRA,Luna Restaurant,40.71786,-74.04412,"279 Grove St, Jersey City, NJ 07302",3.9,509,,https://www.yelp.com/biz/luna-restaurant-jersey-city?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Jersey City,NJ,US,07302
xQcJ6Wo8A7Gbqq6BKKBIqQ,Aura Lounge,40.88508254885526,-74.14926184455354,"1500 Main Ave, Clifton, NJ 07011",3.3,70,,https://www.yelp.com/biz/aura-lounge-clifton?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category+term,Clifton,NJ,US,07011
xbzUfm4PjqyKMg1eZTLo6A,Halal Mama,40.7422335269512,-74.1735648249168,"160 University Ave, Newark, NJ 07102",3.4,8,,https://www.yelp.com/biz/halal-mama-newark?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Newark,NJ,US,07102
HplyFgXtVZFAK-XzWfwfHQ,Pho Express,40.745735,-74.028623,"732 Washington St, Hoboken, NJ 07030",4.3,28,,https://www.yelp.com/biz/pho-express-hoboken-2?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Hoboken,NJ,US,07030
bEPh6KWHYYuxiMHW2PzomA,White Manna,40.88928,-74.0383,"358 River St, Hackensack, NJ 07601",3.8,1574,,https://www.yelp.com/biz/white-manna-hackensack?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Hackensack,NJ,US,07601
4_SX63rsdmlFOBzlsbRVlA,Marakesh Restaurant,40.8587321138519,-74.358713991231,"321 Rt 46 E, Parsippany, NJ 07054",4.1,283,,https://www.yelp.com/biz/marakesh-restaurant-parsippany?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Parsippany,NJ,US,07054
NQaxnwR-up5AwBpSfDbFkQ,Burger Mania,40.75576,-73.99052,"274 W 40th St, New York, NY 10018",4.5,113,,https://www.yelp.com/biz/burger-mania-new-york?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,New York,NY,US,10018
